Everything has changed.	semuanya telah berubah
He walked over to where he was standing.	dia berjalan ke tempat dia berdiri
I feel confident enough to say yes.	saya merasa cukup percaya diri untuk mengatakan ya
He will lose a lot of time.	dia akan kehilangan banyak waktu
Keep it simple where we can.	tetap sederhana di mana kita bisa
I don't think so.	sepertinya tidak begitu
There will be a way.	akan ada jalan
You don't have to stay longer than you like.	anda tidak harus tinggal lebih lama dari yang anda suka
Its simple but powerful enough.	yang sederhana namun cukup kuat
They don't and never will.	mereka tidak dan tidak akan pernah
Some things are impossible.	beberapa hal tidak mungkin
Don't leave the house.	jangan keluar rumah
Most of the time sleeping.	sebagian besar waktu tidur
I better go back there.	lebih baik aku kembali ke sana
They are a part of me.	mereka adalah bagian dari saya
He had many reasons for that.	dia punya banyak alasan untuk itu
What can I do wrong.	apa yang bisa saya lakukan salah
There are many people like that.	ada banyak orang yang begitu
They give you more than you know.	mereka memberi anda lebih dari yang anda tahu
Never thought he would do it.	tidak pernah berpikir dia akan melakukannya
I can't go out.	saya tidak bisa keluar
In other cases, this is not true.	dalam kasus lain ini tidak benar
I'll go quickly.	aku akan pergi dengan cepat
There are still questions.	masih ada pertanyaan
Do it the right way.	lakukan dengan cara yang benar
They lived and died so easily.	mereka hidup dan mati dengan begitu mudah
Maybe he should go.	mungkin dia harus pergi
But it won't work.	tapi itu tidak akan berjalan
He knew he could never leave now.	dia tahu dia tidak akan pernah bisa pergi sekarang
He wished they would stop.	dia berharap mereka berhenti
You have to get some more.	anda harus mendapatkan lebih banyak lagi
He took his time about it.	dia mengambil waktu tentang hal itu
It's all part of their world.	itu semua bagian dari dunia mereka
No more money.	tidak ada lagi uang
I never knew this.	saya tidak pernah tahu ini
But our work is important to us.	tapi pekerjaan kami penting bagi kami
However, it seems important.	namun tampaknya penting
Yes, he is sleeping.	ya dia sedang tidur
He clearly can.	dia jelas bisa
Then they got scared.	kemudian mereka takut
That is a very small thing.	itu adalah hal yang sangat kecil
He has seen it all.	dia telah melihat semuanya
Maybe they did.	mungkin mereka melakukannya
Nobody knows what they're doing.	tidak ada yang tahu apa yang mereka lakukan
I know about these things.	saya tahu tentang halhal ini
Something deeper is at work.	sesuatu yang lebih dalam sedang bekerja
And that's how it should be.	dan itu seharusnya begitu
He stood outside not really knowing what to do.	dia berdiri di luar tidak benarbenar tahu apa yang harus dilakukan
I think we know better.	saya pikir kita tahu lebih baik
Or so they want you to believe.	atau jadi mereka ingin anda percaya
It is something that few know.	itu adalah sesuatu yang hanya sedikit yang tahu
This should be the first thing.	ini harus menjadi hal pertama
I can't seem to get it to work properly.	sepertinya saya tidak bisa membuatnya bekerja dengan benar
I hope to be able to help again next year.	saya berharap dapat membantu lagi tahun depan
First time for me now too.	pertama kali bagi saya sekarang juga
Until then, stay where you are.	sampai saat itu tetap di tempat anda berada
Don't expect anything.	jangan berharap apaapa
Maybe not the best, but still.	mungkin bukan yang terbaik tapi tetap saja
Or just another day.	atau hanya hari lain
It was the voice of the dead.	itu adalah suara orang mati
All night.	sepanjang malam
But after that.	namun setelah itu
That's the interesting part.	itulah bagian yang menarik
You don't need anything.	tidak perlu apaapa
Too sure of himself.	terlalu yakin pada dirinya sendiri
My parents are out for dinner.	orang tua saya keluar untuk makan malam
Nothing else is strong enough and big enough.	tidak ada lagi yang cukup kuat dan cukup besar
Speaking of, you are definitely right.	berbicara tentang anda pasti benar
There is one small problem.	ada satu masalah kecil
We don't know anything about them.	kami tidak tahu apaapa tentang mereka
That's all he is to them.	hanya itu dia bagi mereka
For us, this is not the case.	bagi kami ini tidak terjadi
I never want to do that again.	saya tidak pernah ingin melakukan itu lagi
The little man came back.	pria kecil itu kembali
He couldn't see it either.	dia juga tidak bisa melihatnya
Of course, there is no such thing.	tentu saja tidak ada hal seperti itu
But there are so many people.	tapi ada begitu banyak orang
It seems to work for you.	tampaknya bekerja untuk anda
You change or you die.	anda berubah atau anda mati
He seemed very pleased with himself.	dia tampak sangat senang dengan dirinya sendiri
They will help many things.	mereka akan membantu banyak hal
And he stopped.	dan dia berhenti
He took a closer look.	dia melihat lebih dekat
Whatever you do, don't stop.	apa pun yang anda lakukan jangan berhenti
We see something, and we want to do it.	kami melihat sesuatu dan kami ingin melakukannya
Or what they actually do.	atau apa yang sebenarnya mereka lakukan
This is not a path for people.	ini bukan jalan untuk orangorang
But he can quite do it all.	tapi dia cukup bisa melakukan itu semua
Yes, you will enter.	ya kamu akan masuk
This one will be easy.	yang ini akan mudah
It gets pretty big.	ini menjadi cukup besar
You may have seen someone.	anda mungkin sudah melihat seseorang
Things could be very different.	halhal bisa jadi sangat berbeda
I thought it was love, you know.	saya pikir itu cinta anda tahu
You look better than them.	anda terlihat lebih baik dari mereka
It's even bad for that.	ini bahkan buruk untuk itu
He knew where he had to go.	dia tahu ke mana dia harus pergi
Never seen them before.	belum pernah melihat mereka sebelumnya
But not money.	tapi bukan uang
From now on, you all know.	mulai saat ini anda semua tahu
We have yes.	kami punya ya
A woman's pain.	rasa sakit seorang wanita
Almost the same as now.	hampir sama seperti sekarang ini
That was what seemed wrong to him.	itulah yang tampak salah pada dirinya
They are here and they know about me.	mereka di sini dan mereka tahu tentang saya
So I did that too.	jadi saya melakukan itu juga
It never happened like that before.	itu tidak pernah terjadi seperti itu sebelumnya
But it's still fun.	tapi itu tetap menyenangkan
I just don't know what to think.	aku hanya tidak tahu harus berpikir apa
They will die.	mereka akan mati
I feed them enough.	saya memberi mereka makan dengan cukup
He's good at it too.	dia juga bagus dalam hal itu
You must always keep going.	anda harus selalu terus berjalan
We only have each other.	kami hanya memiliki satu sama lain
Let them come.	biarkan mereka datang
Maybe it will be interesting here after all.	mungkin itu akan menjadi menarik di sini setelah semua
But this time it doesn't matter.	tapi kali ini tidak masalah
Or maybe it always happens in some way.	atau mungkin itu selalu terjadi dalam beberapa hal
This is a better case.	ini adalah kasus yang lebih bagus
First thing.	hal pertama
He has a small one and another on the way.	dia punya satu kecil dan satu lagi di jalan
It is a different world now.	ini adalah dunia yang berbeda sekarang
But no one else.	tapi tidak ada orang lain
We don't know what took them so long.	kami tidak tahu apa yang membuat mereka begitu lama
I would be more precise.	aku akan lebih tepat
Easy to go wherever we want to go.	mudah untuk pergi ke mana pun kita ingin pergi
And they don't all do.	dan mereka tidak semua melakukannya
They looked under the bed.	mereka melihat ke bawah tempat tidur
Very helpful.	sangat membantu
Good timing, just not really.	waktu yang baik hanya tidak benarbenar
She is a very attractive woman.	dia wanita yang sangat menarik
For men too, for that matter.	untuk pria juga dalam hal ini
They don't look right.	mereka tidak terlihat benar
Who knows what needs to happen.	siapa yang tahu apa yang perlu terjadi
Life gets tough.	hidup menjadi sulit
That problem has been around for a long time.	masalah itu sudah lama ada
So you do it.	jadi anda melakukannya
There must be more to this.	harus ada lebih dari ini
Looks a lot of ways.	terlihat banyak cara
If one dies, the other dies too.	jika yang satu mati yang lain juga mati
You didn't give me anything.	anda tidak memberi saya apaapa
I need to know how it happened.	saya perlu tahu bagaimana itu terjadi
But they really need to.	tapi mereka benarbenar perlu
Very few people find out what they need to do.	sangat sedikit orang yang menemukan apa yang harus mereka lakukan
He might have found one!	dia mungkin telah menemukan satu
And if there are children.	dan jika ada anak
You have always been a good boy.	anda selalu menjadi anak yang baik
But, but .	tapi tapi
But if it works.	tapi jika berhasil
It's so bad, and it's so powerful.	ini sangat buruk dan itu sangat kuat
That was all he knew for sure.	hanya itu yang dia tahu dengan pasti
Both this time.	keduanya kali ini
It has a very lively taste.	ini memiliki rasa yang sangat hidup
Here, every woman will be different.	di sini setiap wanita akan berbeda
He wanted to feel completely sure of himself.	dia ingin merasa benarbenar yakin pada dirinya sendiri
So much is clear.	begitu banyak yang jelas
So yeah, interesting.	jadi ya menarik
I can't talk to anyone.	saya tidak bisa berbicara dengan siapa pun
And you can't think so either.	dan anda juga tidak bisa berpikir begitu
From the work you've done here.	dari pekerjaan yang telah anda lakukan di sini
It's always been about me.	itu selalu tentang saya
He is quite attractive when talking to people.	dia cukup menarik ketika berbicara dengan orang
I also like to eat.	saya juga suka makan
Like, that's impossible.	seperti itu tidak mungkin
I went there once or twice.	saya pergi ke sana sekali atau dua kali
I enjoy doing this.	saya senang melakukan ini
He had to say something, and quickly.	dia harus mengatakan sesuatu dan cepat
Or because it's difficult.	atau karena sulit
I will be here.	saya akan berada di sini
But there is still much work to be done.	tapi masih banyak pekerjaan yang harus dilakukan
Everything is clear to me now.	semuanya jelas bagi saya sekarang
That should be pretty self-explanatory.	itu seharusnya cukup jelas
He knows who it is.	dia tahu siapa itu
With us now.	bersama kami sekarang
We will work for ourselves from now on.	kami akan bekerja untuk diri kita sendiri mulai sekarang
You can never please everyone.	anda tidak pernah bisa menyenangkan semua orang
It won't be the last.	itu tidak akan menjadi yang terakhir
He sleeps for the night.	dia tidur untuk malam ini
This is very true.	hal ini sangat benar
They almost always have their own house.	mereka hampir selalu memiliki rumah sendiri
I really want to.	saya sangat ingin
They still have a lot of work to do.	mereka masih memiliki banyak pekerjaan yang harus dilakukan
I think this needs to happen.	saya pikir ini perlu terjadi
But you really don't, you know.	tapi anda benarbenar tidak anda tahu
I barely made it here.	saya hampir tidak berhasil di sini
There are people talking.	ada orang yang berbicara
We must stand for these things.	kita harus berdiri untuk halhal ini
