There and then.	teo ary avy eo
But that may not be possible.	mety tsy ho tanteraka anefa izany
Everything was really fun.	tena nahafinaritra ny zavadrehetra
If any good.	raha misy tsara
He alone gets it.	izy ihany no mahazo izany
But that may not be the case.	mety tsy ho toy izany anefa ny zavamisy
He just isn’t.	izy ihany no tsy
We have never seen anything like it.	samy tsy nahita zavatra toy izany mihitsy izahay
I know it doesn’t matter to you from me.	fantatro fa tsy misy dikany aminao izany avy amiko
Not for today.	tsy ho anny anio
However, they are good questions.	na izany aza fanontaniana tsara izy ireo
And not, of course.	ary tsy izany mazava ho azy
Anyway, enough about me.	na izany na tsy izany ampy ny momba ahy
Money didn’t matter.	tsy nisy dikany ny vola
No one is going to be so stupid.	tsy misy olona ho adala toy izany
That’s also what I really want to do.	izany koa no tena tiako atao
It was nice to see them all again.	nahafinaritra ny nahita azy rehetra indray
Glad to see the end.	faly mahita ny farany
I didn’t do anything with the pictures.	tsy nanao na inona na inona taminny sary aho
However, there are also problems.	na izany aza misy olana ihany koa
There is nothing about a typical day.	tsy misy na inona na inona momba ny andro mahazatra
The old ways have become new.	lasa vaovao ny lalana taloha
But a big step.	dingana lehibe anefa
Yes, we must do our best.	eny tsy maintsy manao ny tsara indrindra isika
They are no longer new.	tsy vaovao intsony izy ireo
I think everyone has their own.	heveriko fa samy manana ny azy ny tsirairay
And then there were three.	ary avy eo dia nisy telo
To him, he was confused.	ho azy dia very hevitra izy
But they said.	fa hoy izy ireo
Because we are.	satria isika
He doesn't like history.	tsy tia tantara izy
Nothing seems to work for me.	toa tsy misy miasa amiko
And so it is all.	ary toy izany daholo izany
Others go without anything.	ny hafa mandeha tsy misy na inona na inona
Here and now he needed her.	eto ary ankehitriny dia izy no nila azy
This was not possible before.	tsy azo atao izany teo aloha
But there was always the next year.	nisy foana anefa ny taona manaraka
There is more of course.	misy bebe kokoa mazava ho azy
He knows that way.	fantany io lalana io
So no information is needed.	noho izany dia tsy ilaina ny vaovao
This game is great.	lehibe ity lalao ity
I think he’s a great guy.	heveriko fa olona lehibe izy
Otherwise, no.	raha tsy izany dia tsia
He knew the bad about me.	fantany ny ratsy momba ahy
There is no room for two.	tsy misy toerana ho anny roa
He can get a lot then, he said.	afaka mahazo betsaka izy avy eo hoy izy
Because, in fact, there is no ordinary time.	satria raha ny marina tsy misy fotoana mahazatra
And it has to be.	ary tsy maintsy ho izy
They are better.	tsara kokoa izy ireo
It’s all good work.	asa tsara daholo izany
Everything is different.	samy hafa ny zavadrehetra
They stopped immediately.	nijanona avy hatrany izy ireo
He has to make a life for himself, somewhere.	tsy maintsy manao fiainana ho anny tenany izy any ho any
But not immediately.	fa tsy avy hatrany
It’s not that they’re really gone.	tsy hoe tena lasa izy ireo
It may be necessary.	mety ilaina izany
And mine seems fun.	ary ny ahy toa mahafinaritra
Soon we will be alone.	tsy ho ela dia irery isika
But he knew the truth.	fantany anefa ny tena zavamisy
Do this in two parts.	ataovy aminny ampahany roa izany
You can’t do everything.	tsy afaka manao ny zavadrehetra ianao
You and money.	ianao sy ny vola
They will get there.	ho tonga any izy ireo
They could all be hers.	mety ho azy daholo ireo
But this is not a normal day.	tsy andro mahazatra anefa izao
It will be new.	ho vaovao izany
But you already know that.	saingy efa fantatrao izany
Yes, not always.	eny tsy foana mihitsy
You should do next.	tokony hanao manaraka ianao
I almost did the same.	saika nanao izany koa aho
But he knew where he was.	fantany anefa izay nisy azy
But that soon stopped.	tsy ela anefa dia nijanona izany
That's the man.	izay ilay lehilahy
But yours is beautiful.	fa tsara tarehy ny anao
He will have to lose a lot.	tsy maintsy ho very be izy
It has never been so difficult before.	tsy mbola sarotra toy izao izany teo aloha
In the best variety as well.	aminny karazana tsara indrindra ihany koa
Others had similar ideas.	ny hafa dia nanana hevitra mitovy
It was part of him.	ampahany taminy izany
And that’s the real job.	ary izany no tena asa
But we’re not sure about the options.	saingy tsy manana antoka momba ny safidy isika
You must still have a great day.	tsy maintsy mbola manana andro mahafinaritra ianao
Anything but nothing.	na inona na inona fa tsy misy
He was always fun.	nahafinaritra foana izy
I’ve done all this before.	efa nanao izany rehetra izany aho taloha
If you will, you will.	raha ho ianao dia ho ho
When we get there.	rehefa tonga any izahay
He starts walking.	manomboka mandeha izy
You are not alone.	tsy ianao irery akory
It was like a new world.	toy ny tontolo vaovao ilay izy
Good timing, but not really.	fotoana tsara fa tsy tena
For men, too.	ho anny lehilahy koa aminizany
The house is new.	vaovao ilay trano
And it’s not just history.	ary tsy tantara fotsiny
Life became difficult.	lasa sarotra ny fiainana
This problem has been around for a long time.	efa ela no nisy io olana io
Good stuff right.	zavatra tsara mety
We only have.	isika ihany no manana
We are doing well now.	mandeha tsara isika izao
We hope the best for you.	manantena ny tsara indrindra ho anao izahay
This is very bad for you.	tena ratsy aminao izany
It’s too factual.	tena zavamisy loatra
But it never went that way.	saingy tsy nandeha taminizany mihitsy
For men, however, the situation is a bit different.	ho anny lehilahy anefa dia somary hafa ihany ny zavamisy
It’s not all mine.	tsy ahy daholo izany
Or very low.	na ambany be
And good ideas keep coming.	ary ny hevitra tsara dia tonga hatrany
Something started.	nisy zavatra nanomboka
The whole world.	izao tontolo izao rehetra
Don’t travel far unless absolutely necessary.	aza manao dia lavitra raha tsy tena ilaina
However, this effect was not observed in the initial phase.	na izany aza io vokatra io dia tsy hita taminny dingana voalohany
He seems to be a very decent man.	toa lehilahy mendrika tokoa izy
It's a moving car.	fiara mandeha izy io
These men are alone again.	irery indray ireo lehilahy ireo
I’m over walking.	mihoatra ny mandeha aho
Then he saw it no more.	dia tsy nahita izany intsony izy
Of course, this is not always easy.	mazava ho azy fa tsy mora foana izany
This is very important to them.	tena zavadehibe ho azy ireo izany
Probably not possible at all.	angamba tsy azo atao mihitsy
They were there immediately.	teo no ho eo izy ireo
If they see something, fine.	raha mahita zavatra izy ireo dia tsara
Now they could do whatever they wanted.	afaka nanao izay tiany izy ireo izao
There has to be more than that.	tsy maintsy misy mihoatra noho izany
Look many ways.	mijery fomba maro
We always do.	manao foana izahay
If one dies, the other dies too.	raha maty ny iray dia maty koa ny iray
That’s about time.	izay ny momba ny fotoana
Or it may not do anything.	na mety tsy manao na inona na inona izany
Others are not real to them.	ny hafa dia tsy tena izy aminizy ireo
Some love it which is great.	ny sasany tia azy izay lehibe
There may not be.	mety tsy hisy
I can see it clearly.	hitako tsara ilay izy
He is not going well.	tsy mandeha tsara izy
He is really hurting you.	tena manao ratsy aminao izy
And he is happy now.	ary faly izy izao
He just stared.	nijery ihany izy
Check out the full story next !.	jereo ny tantara feno manaraka
One died in the car.	maty taminny fiara ny iray
The past year has been enough for me.	ampy ho ahy ny taona lasa
It starts well first.	manomboka aminny tsara aloha izany
And of course they do.	ary mazava ho azy fa manao izany izy ireo
I'm going well.	mandeha tsara aho
In fact, the facts are the same.	raha ny marina dia iray ihany ny zavamisy
Ideally, they will be in front.	raha ny tokony ho izy dia ho eo aloha izy ireo
However, in reality, they don’t.	na dia izany aza raha ny tena marina dia tsy manao izany izy ireo
It’s not bad or wrong.	tsy ratsy na diso izany
i can't walk	tsy afaka mandeha aho
But, but.	saingy saingy
Yes, he is a wonderful man.	eny lehilahy mahafinaritra izy
But everything is different now.	hafa ihany koa anefa ny zavadrehetra ankehitriny
Absolutely not true.	tena tsy marina
Whether you like it or not.	na tia ianao na tsy tia
Apparently no one died.	toa tsy nisy maty
It is too strong.	mafy loatra
There aren’t too many women.	tsy dia be loatra ny vehivavy
He couldn't look at her.	tsy afaka nijery azy izy
He is indeed dead now.	efa maty tokoa izy izao
It was a really fun time.	tena fotoana nahafinaritra tokoa izany
There seemed to be no end to time.	toa tsy nisy farany ny fotoana
Enough of us up there.	ampy izay isika any ambony
It started two years ago.	nanomboka roa taona lasa izay izy
I think that’s a good thing, overall.	heveriko fa zavatra tsara izany aminny ankapobeny
Or even work.	na miasa mihitsy
But just kind of.	fa karazana ihany
They do what they want, no matter what.	manao izay tiany izy ireo na inona na inona
Sometimes it goes too far.	indraindray dia lasa lavitra
Sometimes it works, sometimes it doesn’t.	indraindray miasa indraindray tsy mandeha
Not much to go with it.	tsy dia betsaka ny mandeha miaraka aminy
I know this crazy story.	fantatro io tantara adala io
It may go away early.	mety ho lasa aloha ilay izy
There is no wrong reason for them.	tsy misy antony tsy mety ho azy ireo
The men never stopped.	tsy nijanona mihitsy ny lehilahy
But that is absolutely impossible.	saingy tena tsy azo atao izany
It might do something.	mety hanao zavatra izany
She is like a woman.	toy ny vehivavy izy
No news is lost here.	tsy misy very ny vaovao eto
But they really need it.	saingy tena mila izany izy ireo
You might have seen it !.	mety ho nahita ilay izy
It is still a very first day.	mbola andro voalohany be izao
This is a story about money.	ity dia tantara momba ny vola
This option seems to work well for some women.	ity safidy ity dia toa miasa tsara aminny vehivavy sasany
We can still do that.	mbola afaka manao izany isika
As he knew.	araka ny fantany
Yes, we did all that.	eny nanao izany rehetra izany izahay
There was bad news.	nisy vaovao ratsy tao
People seem to.	ny olona toa
No thanks at all.	tsy misaotra mihitsy
You have the choice.	manana ny safidy ianao
Probably a lot.	betsaka angamba
I think that’s normal.	heveriko fa mahazatra izany
It’s not bad, it’s just not good.	tsy ratsy izany tsy tsara fotsiny
Probably this year.	mety aminity taona ity
Works as before.	miasa toy ny teo aloha
I know too much about him.	be loatra ny zavatra fantatro momba azy
It was always there.	teo foana izy io
All ideas.	ny hevitra rehetra
Not everyone.	tsy ny rehetra
He went from one to another.	nandeha avy tany aminny iray hafa izy
No one is too happy.	tsy misy faly loatra
It's a high -ranking man working on it.	lehilahy ambony no miasa aminizany
He knows it all.	fantany daholo izany
This process did not go smoothly.	tsy nandeha araka ny tokony ho izy io dingana io
It no longer made sense.	tsy nisy dikany intsony izany
But for me it’s all new.	fa ho ahy dia vaovao daholo izany
All that, in fact.	izany rehetra izany raha ny marina
Yes, not now.	eny tsy izao
You had a great day.	nanana andro lehibe ianao
Maybe this is the only way for us.	angamba io ihany no mety ho antsika
They’re all fun.	izy rehetra dia mahafinaritra
Not true in part, but true in general.	tsy marina aminny ampahany fa marina aminny ankapobeny
But, he didn’t need it.	saingy tsy nila izany izy
We were definitely in the right place.	azo antoka fa teo aminny toerana mety izahay
I’m so glad you like it !.	tena faly aho fa tianao izany
Now, we do the same.	ankehitriny manao toy izany koa isika
She likes that idea.	tiany io hevitra io
Of course, this is not something of the world.	mazava ho azy fa tsy zavatra avy aminizao tontolo izao izany
It was a bad idea at a bad time.	hevitra ratsy izany taminny fotoana ratsy
It is also a difficult question.	fanontaniana sarotra ihany koa izany
The fact is he is right.	ny zavamisy dia marina izy
And for other reasons as well.	ary noho ny antony hafa koa
They’re not very pretty, not really.	tsy dia tsara tarehy izy ireo tsy tena
And of course they are true.	ary mazava ho azy fa marina ireo
But nothing more could be done.	tsy nisy azo natao intsony anefa
